ITS1,ITS2,X18S
Naematelia,Lophodermium,
Naganishia,Luellia,
Naohidea,Lycoperdon,
Nemania,Malassezia,
Nematoctonus,Mariannaea,
Neoascochyta,Marquandomyces,
Neocatenulostroma,Melampsora,
Neochalara,Melanconiella,
Neocladophialophora,Melanconis,
Neocladosporium,Meliniomyces,
Neocucurbitaria,Metacordyceps,
Neodevriesia,Metarhiziopsis,
Neoerysiphe,Metarhizium,
Neohelicomyces,Meyerozyma,
Neohortaea,Microdochium,
Neomyrmecridium,Microsporomyces,
Neophaeococcomyces,Microstroma,
Neosetophoma,Mollisina,
Neostagonospora,Mortierella,
Neovaginatispora,Mrakia,
Niesslia,Mucor,
Nigrograna,Murispora,
Nigrospora,Mycena,
Oberwinklerozyma,Mycoacia,
Oidiodendron,Mycoarthris,
Oncopodiella,Mycosylva,
Ophiognomonia,Myriangium,
Orbilia,Myriococcum,
Ovicillium,Myrmecridium,
Oxyporus,Mytilinidion,
Pandora,Naematelia,
Papiliotrema,Naganishia,
Paraconiothyrium,Naohidea,
Paradevriesia,Nematoctonus,
Paraphaeosphaeria,Neoacrodontiella,
Paraphoma,Neoacrodontium,
Parastagonospora,Neoascochyta,
Parathyridaria,Neocatenulostroma,
Paratritirachium,Neocladophialophora,
Paxillus,Neocladosporium,
Pectenia,Neocucurbitaria,
Penicillium,Neodevriesia,
Penidiella,Neoerysiphe,
Peniophora,Neomyrmecridium,
Peniophorella,Neophaeococcomyces,
Periconia,Neophaeomoniella,
Perusta,Neopseudolachnella,
Petrophila,Neosetophoma,
Phacidium,Neostagonospora,
Phaeococcomyces,Neovaginatispora,
Phaeodactylium,Niesslia,
Phaeosclera,Nigrograna,
Phaeosphaeria,Nigrospora,
Phaeotheca,Oberwinklerozyma,
Phaeothecoidea,Ochroconis,
Phaeotremella,Oidiodendron,
Phaffia,Oncopodiella,
Phallus,Orbilia,
Phanerochaete,Ovicillium,
Phialemonium,Oxyporus,
Phialocephala,Paecilomyces,
Phialophora,Papiliotrema,
Phlebia,Paradevriesia,
Phomatospora,Paraphaeosphaeria,
Pichia,Paraphoma,
Pilidium,Parapyrenochaeta,
Piloderma,Parastagonospora,
Piniphoma,Parathyridaria,
Piskurozyma,Paratritirachium,
Pleuroascus,Parmelia,
Pleurophoma,Pascua,
Pleurotus,Paxillus,
Podila,Pectenia,
Polyscytalum,Peltaster,
Porostereum,Penicillago,
Postia,Penicillium,
Preussia,Peniophora,
Priceomyces,Peniophorella,
Prillingera,Periconia,
Proliferodiscus,Perusta,
Protomyces,Phaeococcomyces,
Pseudobensingtonia,Phaeodactylium,
Pseudocamarosporium,Phaeosclera,
Pseudocoleophoma,Phaeosphaeria,
Pseudocosmospora,Phaeotheca,
Pseudocyclothyriella,Phaeothecoidea,
Pseudodictyosporium,Phaeotremella,
Pseudogymnoascus,Phaffia,
Pseudohyphozyma,Phallus,
Pseudomerulius,Phanerochaete,
Pseudophialocephala,Phialemonium,
Pseudopithomyces,Phialocephala,
Pseudoplectania,Phialophora,
Pseudoramichloridium,Phlebia,
Pseudotremella,Pholiota,
Pseudoveronaea,Physcia,
Pyrenochaetopsis,Pilidium,
Pyrenopeziza,Piloderma,
Pyrenophora,Pinaceicola,
Pyrigemmula,Piniphoma,
Rachicladosporium,Piptocephalis,
Radulidium,Piskurozyma,
Radulomyces,Placynthiella,
Ragnhildiana,Plectania,
Ramichloridium,Pleurophoma,
Ramularia,Pleurotus,
Resinicium,Pochonia,
Rhinocladiella,Podila,
Rhodocybe,Podosphaera,
Rhodosporidiobolus,Polyozellus,
Rhodotorula,Polyscytalum,
Rhodoveronaea,Preussia,
Russula,Priceomyces,
Saccharomyces,Proliferodiscus,
Saitozyma,Pseudoanungitea,
Sampaiozyma,Pseudobensingtonia,
Sarea,Pseudocamaropycnis,
Sarocladium,Pseudocoleophoma,
Schizophyllum,Pseudocosmospora,
Schwanniomyces,Pseudocyclothyriella,
Scleroderma,Pseudogymnoascus,
Scleropezicula,Pseudohyphozyma,
Sclerostagonospora,Pseudomerulius,
Scolecolachnum,Pseudomicrostroma,
Scoliciosporum,Pseudophialocephala,
Scopuloides,Pseudopithomyces,
Selenophoma,Pseudoplectania,
Septobasidium,Pseudotomentella,
Septoriella,Pseudotremella,
Serendipita,Pseudoveronaea,
Simplicillium,Puccinia,
Sistotrema,Pyrenochaetopsis,
Sistotremastrum,Pyrenopeziza,
Skeletocutis,Rachicladosporium,
Slooffia,Radulidium,
Solicoccozyma,Radulomyces,
Sorocybe,Ragnhildiana,
